id,target_word,context_string
d000.s000.t000,refer,oct. editorial ill homeless research six colleague report sept. issue journal american medical association
d000.s000.t001,research,oct. editorial ill homeless refer six colleague report sept. issue journal american medical association
d000.s000.t002,report,oct. editorial ill homeless refer research six colleague sept. issue journal american medical association
d000.s001.t000,comment,imply discover principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t001,imply,comment discover principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t002,discover,comment imply principal cause homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t003,cause,comment imply discover principal homelessness find large number mentally ill substance-abusing people homeless population
d000.s001.t004,find,comment imply discover principal cause homelessness large number mentally ill substance-abusing people homeless population
d000.s002.t000,make,statement
d000.s002.t001,statement,make
d000.s003.t000,become,clear mentally ill people alcoholic homeless
d000.s004.t000,cause,homelessness poorly understand complex individual case
d000.s004.t001,understand,cause homelessness poorly complex individual case
d000.s005.t000,quote,research emphasize high prevalance mental illness alcoholism
d000.s005.t001,emphasize,quote research high prevalance mental illness alcoholism
d000.s006.t000,note,homeless people examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t001,people,note homeless examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t002,examine,note homeless people multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t003,have,note homeless people examine multitude physical disorder addition psychiatric problem substance abuse
d000.s006.t004,multitude,note homeless people examine physical disorder addition psychiatric problem substance abuse
d000.s007.t000,suffer,malnutrition chest disease cardiovascular disorder skin problem infectious disease aftereffect assault rape
d000.s008.t000,people,homeless lack safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t001,lack,homeless people safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t002,shelter,homeless people lack safety privacy also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t003,lack,homeless people safety privacy shelter also lack elementary necessity nutrition cleanliness basic health care
d000.s008.t004,necessity,homeless people lack safety privacy shelter also lack elementary nutrition cleanliness basic health care
d000.s009.t000,point_out,recent report institute medicine certain health problem may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t001,problem,recent report institute medicine point_out certain health may predispose person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
d000.s009.t002,predispose,recent report institute medicine point_out certain health problem may person homelessness may consequence third category compose disorder whose treatment difficult impossible person lack adequate shelter
