id,target_word,context_string
d000.s000.t000,document,summary european public assessment report epar
d000.s000.t001,summary,document european public assessment report epar
d000.s000.t002,european,document summary public assessment report epar
d000.s000.t003,public,document summary european assessment report epar
d000.s000.t004,assessment,document summary european public report epar
d000.s000.t005,report,document summary european public assessment epar
d000.s001.t000,explain,committee medicinal product human use chmp assess study perform reach recommendation use medicine
d000.s001.t001,committee,explain medicinal product human use chmp assess study perform reach recommendation use medicine
d000.s001.t002,medicinal,explain committee product human use chmp assess study perform reach recommendation use medicine
d000.s001.t003,product,explain committee medicinal human use chmp assess study perform reach recommendation use medicine
d000.s001.t004,human,explain committee medicinal product use chmp assess study perform reach recommendation use medicine
d000.s001.t005,use,explain committee medicinal product human chmp assess study perform reach recommendation use medicine
d000.s001.t006,assess,explain committee medicinal product human use chmp study perform reach recommendation use medicine
d000.s001.t007,study,explain committee medicinal product human use chmp assess perform reach recommendation use medicine
d000.s001.t008,perform,explain committee medicinal product human use chmp assess study reach recommendation use medicine
d000.s001.t009,reach,explain committee medicinal product human use chmp assess study perform recommendation use medicine
d000.s001.t010,recommendation,explain committee medicinal product human use chmp assess study perform reach use medicine
d000.s001.t011,use,explain committee medicinal product human chmp assess study perform reach recommendation use medicine
d000.s001.t012,medicine,explain committee medicinal product human use chmp assess study perform reach recommendation use
d000.s002.t000,need,information medical condition treatment read package leaflet also part epar contact doctor pharmacist
d000.s002.t001,more,need information medical condition treatment read package leaflet also part epar contact doctor pharmacist
d000.s002.t002,information,need medical condition treatment read package leaflet also part epar contact doctor pharmacist
d000.s002.t003,medical,need information condition treatment read package leaflet also part epar contact doctor pharmacist
d000.s002.t004,condition,need information medical treatment read package leaflet also part epar contact doctor pharmacist
d000.s002.t005,treatment,need information medical condition read package leaflet also part epar contact doctor pharmacist
d000.s002.t006,read,need information medical condition treatment package leaflet also part epar contact doctor pharmacist
d000.s002.t007,package,need information medical condition treatment read leaflet also part epar contact doctor pharmacist
d000.s002.t008,leaflet,need information medical condition treatment read package also part epar contact doctor pharmacist
d000.s002.t009,also,need information medical condition treatment read package leaflet part epar contact doctor pharmacist
d000.s002.t010,part,need information medical condition treatment read package leaflet also epar contact doctor pharmacist
d000.s002.t011,contact,need information medical condition treatment read package leaflet also part epar doctor pharmacist
d000.s002.t012,doctor,need information medical condition treatment read package leaflet also part epar contact pharmacist
d000.s002.t013,pharmacist,need information medical condition treatment read package leaflet also part epar contact doctor
d000.s003.t000,want,information basis chmp recommendation read scientific discussion also part epar
d000.s003.t001,more,want information basis chmp recommendation read scientific discussion also part epar
d000.s003.t002,information,want basis chmp recommendation read scientific discussion also part epar
d000.s003.t003,basis,want information chmp recommendation read scientific discussion also part epar
d000.s003.t004,recommendation,want information basis chmp read scientific discussion also part epar
d000.s003.t005,read,want information basis chmp recommendation scientific discussion also part epar
d000.s003.t006,scientific,want information basis chmp recommendation read discussion also part epar
d000.s003.t007,discussion,want information basis chmp recommendation read scientific also part epar
d000.s003.t008,also,want information basis chmp recommendation read scientific discussion part epar
d000.s003.t009,part,want information basis chmp recommendation read scientific discussion also epar
d000.s005.t000,powder,alimta make_up solution infusion drip vein
d000.s005.t001,make_up,alimta powder solution infusion drip vein
d000.s005.t002,solution,alimta powder make_up infusion drip vein
d000.s005.t003,infusion,alimta powder make_up solution drip vein
d000.s005.t004,drip,alimta powder make_up solution infusion vein
d000.s005.t005,vein,alimta powder make_up solution infusion drip
d000.s006.t000,contain,active substance pemetrex
d000.s006.t001,active,contain substance pemetrex
d000.s006.t002,substance,contain active pemetrex
