id,target_word,context_string
d000.s000.t000,art,change_ringing peculiar english like english peculiarity unintelligible rest world
d000.s000.t001,change_ringing,art peculiar english like english peculiarity unintelligible rest world
d000.s000.t002,peculiar,art change_ringing english like english peculiarity unintelligible rest world
d000.s000.t003,english,art change_ringing peculiar like english peculiarity unintelligible rest world
d000.s000.t004,most,art change_ringing peculiar english like english peculiarity unintelligible rest world
d000.s000.t005,english,art change_ringing peculiar like english peculiarity unintelligible rest world
d000.s000.t006,peculiarity,art change_ringing peculiar english like english unintelligible rest world
d000.s000.t007,unintelligible,art change_ringing peculiar english like english peculiarity rest world
d000.s000.t008,rest,art change_ringing peculiar english like english peculiarity unintelligible world
d000.s000.t009,world,art change_ringing peculiar english like english peculiarity unintelligible rest
d000.s001.t000,tailor,dorothy l. sayer nine
d000.s002.t000,england,aslacton --
d000.s003.t000,scene,evoke rural england one lovely ancient stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t001,evoke,scene rural england one lovely ancient stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t002,rural,scene evoke england one lovely ancient stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t003,england,scene evoke rural one lovely ancient stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t004,lovely,scene evoke rural england one ancient stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t005,ancient,scene evoke rural england one lovely stone church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t006,stone,scene evoke rural england one lovely ancient church stand amid field sound bell cascade tower call faithful evensong
d000.s003.t007,church,scene evoke rural england one lovely ancient stone stand amid field sound bell cascade tower call faithful evensong
d000.s003.t008,stand,scene evoke rural england one lovely ancient stone church amid field sound bell cascade tower call faithful evensong
d000.s003.t009,field,scene evoke rural england one lovely ancient stone church stand amid sound bell cascade tower call faithful evensong
d000.s003.t010,sound,scene evoke rural england one lovely ancient stone church stand amid field bell cascade tower call faithful evensong
d000.s003.t011,bell,scene evoke rural england one lovely ancient stone church stand amid field sound cascade tower call faithful evensong
d000.s003.t012,cascade,scene evoke rural england one lovely ancient stone church stand amid field sound bell tower call faithful evensong
d000.s003.t013,tower,scene evoke rural england one lovely ancient stone church stand amid field sound bell cascade call faithful evensong
d000.s003.t014,call,scene evoke rural england one lovely ancient stone church stand amid field sound bell cascade tower faithful evensong
d000.s003.t015,faithful,scene evoke rural england one lovely ancient stone church stand amid field sound bell cascade tower call evensong
d000.s003.t016,evensong,scene evoke rural england one lovely ancient stone church stand amid field sound bell cascade tower call faithful
d000.s004.t000,parishioner,st. michael angel stop chat church door member always
d000.s004.t001,stop,parishioner st. michael angel chat church door member always
d000.s004.t002,chat,parishioner st. michael angel stop church door member always
d000.s004.t003,church,parishioner st. michael angel stop chat door member always
d000.s004.t004,door,parishioner st. michael angel stop chat church member always
d000.s004.t005,member,parishioner st. michael angel stop chat church door always
d000.s004.t006,here,parishioner st. michael angel stop chat church door member always
d000.s004.t007,always,parishioner st. michael angel stop chat church door member
d000.s005.t000,tower,five man woman pull rhythmically rope attach five bell first sound
d000.s005.t001,man,tower five woman pull rhythmically rope attach five bell first sound
d000.s005.t002,woman,tower five man pull rhythmically rope attach five bell first sound
d000.s005.t003,pull,tower five man woman rhythmically rope attach five bell first sound
d000.s005.t004,rhythmically,tower five man woman pull rope attach five bell first sound
d000.s005.t005,rope,tower five man woman pull rhythmically attach five bell first sound
d000.s005.t006,attach,tower five man woman pull rhythmically rope five bell first sound
d000.s005.t007,same,tower five man woman pull rhythmically rope attach five bell first sound
d000.s005.t008,bell,tower five man woman pull rhythmically rope attach five first sound
d000.s005.t009,first,tower five man woman pull rhythmically rope attach five bell sound
d000.s005.t010,sound,tower five man woman pull rhythmically rope attach five bell first
d000.s005.t011,here,tower five man woman pull rhythmically rope attach five bell first sound
d000.s006.t000,also,discordant modern note aslacton though hear churchgoer enjoy peal bell cool autumn evening
d000.s006.t001,discordant,also modern note aslacton though hear churchgoer enjoy peal bell cool autumn evening
d000.s006.t002,modern,also discordant note aslacton though hear churchgoer enjoy peal bell cool autumn evening
d000.s006.t003,note,also discordant modern aslacton though hear churchgoer enjoy peal bell cool autumn evening
d000.s006.t004,churchgoer,also discordant modern note aslacton though hear enjoy peal bell cool autumn evening
d000.s006.t005,enjoy,also discordant modern note aslacton though hear churchgoer peal bell cool autumn evening
d000.s006.t006,peal,also discordant modern note aslacton though hear churchgoer enjoy bell cool autumn evening
d000.s006.t007,bell,also discordant modern note aslacton though hear churchgoer enjoy peal cool autumn evening
d000.s006.t008,cool,also discordant modern note aslacton though hear churchgoer enjoy peal bell autumn evening
d000.s006.t009,autumn,also discordant modern note aslacton though hear churchgoer enjoy peal bell cool evening
d000.s006.t010,evening,also discordant modern note aslacton though hear churchgoer enjoy peal bell cool autumn
d000.s007.t000,most,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t001,other,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t002,church,"like 6,000 britain set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t003,britain,"like 6,000 church set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t004,set,"like 6,000 church britain bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t005,bell,"like 6,000 church britain set st. michael band ringer would herald every sunday morning evening service"
d000.s007.t006,once,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t007,own,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning evening service"
d000.s007.t008,band,"like 6,000 church britain set bell st. michael ringer would herald every sunday morning evening service"
d000.s007.t009,ringer,"like 6,000 church britain set bell st. michael band would herald every sunday morning evening service"
d000.s007.t010,herald,"like 6,000 church britain set bell st. michael band ringer would every sunday morning evening service"
d000.s007.t011,sunday,"like 6,000 church britain set bell st. michael band ringer would herald every morning evening service"
d000.s007.t012,morning,"like 6,000 church britain set bell st. michael band ringer would herald every sunday evening service"
d000.s007.t013,evening,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning service"
d000.s007.t014,service,"like 6,000 church britain set bell st. michael band ringer would herald every sunday morning evening"
d000.s008.t000,now,one local ringer remain 64-year-old derek hammond
d000.s008.t001,only,one local ringer remain 64-year-old derek hammond
d000.s008.t002,local,one ringer remain 64-year-old derek hammond
d000.s008.t003,ringer,one local remain 64-year-old derek hammond
d000.s008.t004,remain,one local ringer 64-year-old derek hammond
d000.s009.t000,here,today live elsewhere
d000.s009.t001,today,live elsewhere
d000.s009.t002,live,today elsewhere
d000.s009.t003,elsewhere,today live
d000.s010.t000,belong_to,group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t001,group,belong_to ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t002,ringer,belong_to group -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t003,include,belong_to group ringer -- two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t004,octogenarian,belong_to group ringer -- include two four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t005,youngster,belong_to group ringer -- include two octogenarian four training -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t006,training,belong_to group ringer -- include two octogenarian four youngster -- drive every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t007,drive,belong_to group ringer -- include two octogenarian four youngster training -- every sunday church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t008,sunday,belong_to group ringer -- include two octogenarian four youngster training -- drive every church church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t009,church,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t010,church,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church sometimes-exhausting effort keep bell sound many belfry east anglium
d000.s010.t011,effort,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting keep bell sound many belfry east anglium
d000.s010.t012,keep,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort bell sound many belfry east anglium
d000.s010.t013,bell,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep sound many belfry east anglium
d000.s010.t014,sound,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell many belfry east anglium
d000.s010.t015,many,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound belfry east anglium
d000.s010.t016,belfry,belong_to group ringer -- include two octogenarian four youngster training -- drive every sunday church church sometimes-exhausting effort keep bell sound many east anglium
d000.s011.t000,even,ring one service tower scrape say mr. hammond retired water-authority worker
d000.s011.t001,service,ring even one tower scrape say mr. hammond retired water-authority worker
d000.s011.t002,tower,ring even one service scrape say mr. hammond retired water-authority worker
d000.s011.t003,scrape,ring even one service tower say mr. hammond retired water-authority worker
d000.s011.t004,say,ring even one service tower scrape mr. hammond retired water-authority worker
d000.s011.t005,retired,ring even one service tower scrape say mr. hammond water-authority worker
d000.s011.t006,worker,ring even one service tower scrape say mr. hammond retired water-authority
d000.s012.t000,try,train youngster disco dance drift away
d000.s012.t001,train,try youngster disco dance drift away
d000.s012.t002,youngster,try train disco dance drift away
d000.s012.t003,disco,try train youngster dance drift away
d000.s012.t004,dance,try train youngster disco drift away
d000.s012.t005,just,try train youngster disco dance drift away
d000.s012.t006,drift,try train youngster disco dance away
d000.s012.t007,away,try train youngster disco dance drift
d000.s013.t000,worry,mr. hammond old_age flightiness youth diminish rank east anglian group keep aslacton bell peal
d000.s013.t001,old_age,mr. hammond worry flightiness youth diminish rank east anglian group keep aslacton bell peal
d000.s013.t002,flightiness,mr. hammond worry old_age youth diminish rank east anglian group keep aslacton bell peal
d000.s013.t003,youth,mr. hammond worry old_age flightiness diminish rank east anglian group keep aslacton bell peal
d000.s013.t004,diminish,mr. hammond worry old_age flightiness youth rank east anglian group keep aslacton bell peal
d000.s013.t005,rank,mr. hammond worry old_age flightiness youth diminish east anglian group keep aslacton bell peal
d000.s013.t006,group,mr. hammond worry old_age flightiness youth diminish rank east anglian keep aslacton bell peal
d000.s013.t007,keep,mr. hammond worry old_age flightiness youth diminish rank east anglian group aslacton bell peal
d000.s013.t008,bell,mr. hammond worry old_age flightiness youth diminish rank east anglian group keep aslacton peal
d000.s013.t009,peal,mr. hammond worry old_age flightiness youth diminish rank east anglian group keep aslacton bell
d000.s014.t000,history,side
d000.s014.t001,side,history
d000.s015.t000,nationwide,accord survey take year ago nearly third england church bell longer ring sunday one ring
d000.s015.t001,survey,accord nationwide take year ago nearly third england church bell longer ring sunday one ring
d000.s015.t002,take,accord nationwide survey year ago nearly third england church bell longer ring sunday one ring
d000.s015.t003,year,accord nationwide survey take ago nearly third england church bell longer ring sunday one ring
d000.s015.t004,ago,accord nationwide survey take year nearly third england church bell longer ring sunday one ring
d000.s015.t005,nearly,accord nationwide survey take year ago third england church bell longer ring sunday one ring
d000.s015.t006,england,accord nationwide survey take year ago nearly third church bell longer ring sunday one ring
d000.s015.t007,church,accord nationwide survey take year ago nearly third england bell longer ring sunday one ring
d000.s015.t008,bell,accord nationwide survey take year ago nearly third england church longer ring sunday one ring
d000.s015.t009,no,accord nationwide survey take year ago nearly third england church bell longer ring sunday one ring
d000.s015.t010,longer,accord nationwide survey take year ago nearly third england church bell ring sunday one ring
d000.s015.t011,ring,accord nationwide survey take year ago nearly third england church bell longer sunday one ring
d000.s015.t012,sunday,accord nationwide survey take year ago nearly third england church bell longer ring one ring
d000.s015.t013,ring,accord nationwide survey take year ago nearly third england church bell longer sunday one ring
d000.s016.t000,easy,see ancient art rope
d000.s016.t001,see,easy ancient art rope
d000.s016.t002,ancient,easy see art rope
d000.s016.t003,art,easy see ancient rope
d000.s017.t000,less,complicated version play tune bell carillon continental europe consider english childish fit foreigner
d000.s017.t001,complicated,less version play tune bell carillon continental europe consider english childish fit foreigner
d000.s017.t002,version,less complicated play tune bell carillon continental europe consider english childish fit foreigner
d000.s017.t003,play,less complicated version tune bell carillon continental europe consider english childish fit foreigner
d000.s017.t004,tune,less complicated version play bell carillon continental europe consider english childish fit foreigner
d000.s017.t005,bell,less complicated version play tune carillon continental europe consider english childish fit foreigner
d000.s017.t006,carillon,less complicated version play tune bell continental europe consider english childish fit foreigner
d000.s017.t007,continental,less complicated version play tune bell carillon europe consider english childish fit foreigner
d000.s017.t008,europe,less complicated version play tune bell carillon continental consider english childish fit foreigner
d000.s017.t009,consider,less complicated version play tune bell carillon continental europe english childish fit foreigner
d000.s017.t010,english,less complicated version play tune bell carillon continental europe consider childish fit foreigner
d000.s017.t011,childish,less complicated version play tune bell carillon continental europe consider english fit foreigner
d000.s017.t012,fit,less complicated version play tune bell carillon continental europe consider english childish foreigner
d000.s017.t013,only,less complicated version play tune bell carillon continental europe consider english childish fit foreigner
d000.s017.t014,foreigner,less complicated version play tune bell carillon continental europe consider english childish fit
d000.s018.t000,change_ringing,mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t001,mind-boggling,change_ringing exercise english invent year ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t002,english,change_ringing mind-boggling exercise invent year ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t003,invent,change_ringing mind-boggling exercise english year ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t004,year,change_ringing mind-boggling exercise english invent ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t005,ago,change_ringing mind-boggling exercise english invent year require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t006,require,change_ringing mind-boggling exercise english invent year ago physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t007,physical,change_ringing mind-boggling exercise english invent year ago require dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t008,dexterity,change_ringing mind-boggling exercise english invent year ago require physical -- bell weigh ton -- combine intense mental concentration
d000.s018.t009,bell,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- weigh ton -- combine intense mental concentration
d000.s018.t010,weigh,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell ton -- combine intense mental concentration
d000.s018.t011,more,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- combine intense mental concentration
d000.s018.t012,ton,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh -- combine intense mental concentration
d000.s018.t013,combine,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- intense mental concentration
d000.s018.t014,intense,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- combine mental concentration
d000.s018.t015,mental,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- combine intense concentration
d000.s018.t016,concentration,change_ringing mind-boggling exercise english invent year ago require physical dexterity -- bell weigh ton -- combine intense mental
d000.s019.t000,english,proper bell start round high-pitched bell low -- simple descend scale use large church many bell
d000.s019.t001,bell,proper english start round high-pitched bell low -- simple descend scale use large church many bell
d000.s019.t002,start,proper english bell round high-pitched bell low -- simple descend scale use large church many bell
d000.s019.t003,round,proper english bell start high-pitched bell low -- simple descend scale use large church many bell
d000.s019.t004,high-pitched,proper english bell start round bell low -- simple descend scale use large church many bell
d000.s019.t005,bell,proper english start round high-pitched bell low -- simple descend scale use large church many bell
d000.s019.t006,low,proper english bell start round high-pitched bell -- simple descend scale use large church many bell
d000.s019.t007,simple,proper english bell start round high-pitched bell low -- descend scale use large church many bell
d000.s019.t008,descend,proper english bell start round high-pitched bell low -- simple scale use large church many bell
d000.s019.t009,scale,proper english bell start round high-pitched bell low -- simple descend use large church many bell
d000.s019.t010,use,proper english bell start round high-pitched bell low -- simple descend scale large church many bell
d000.s019.t011,large,proper english bell start round high-pitched bell low -- simple descend scale use church many bell
d000.s019.t012,church,proper english bell start round high-pitched bell low -- simple descend scale use large many bell
d000.s019.t013,many,proper english bell start round high-pitched bell low -- simple descend scale use large church bell
d000.s019.t014,bell,proper english start round high-pitched bell low -- simple descend scale use large church many bell
d000.s020.t000,then,signal ringer begin vary order bell sound without alter steady rhythm striking
d000.s020.t001,signal,ringer begin vary order bell sound without alter steady rhythm striking
d000.s020.t002,ringer,signal begin vary order bell sound without alter steady rhythm striking
d000.s020.t003,begin,signal ringer vary order bell sound without alter steady rhythm striking
d000.s020.t004,vary,signal ringer begin order bell sound without alter steady rhythm striking
d000.s020.t005,order,signal ringer begin vary bell sound without alter steady rhythm striking
d000.s020.t006,bell,signal ringer begin vary order sound without alter steady rhythm striking
d000.s020.t007,sound,signal ringer begin vary order bell without alter steady rhythm striking
d000.s020.t008,alter,signal ringer begin vary order bell sound without steady rhythm striking
d000.s020.t009,steady,signal ringer begin vary order bell sound without alter rhythm striking
d000.s020.t010,rhythm,signal ringer begin vary order bell sound without alter steady striking
d000.s020.t011,striking,signal ringer begin vary order bell sound without alter steady rhythm
d000.s021.t000,variation,change occur rule state
d000.s021.t001,change,variation occur rule state
d000.s021.t002,occur,variation change rule state
d000.s021.t003,only,variation change occur rule state
d000.s021.t004,once,variation change occur rule state
d000.s021.t005,rule,variation change occur state
d000.s021.t006,state,variation change occur rule
d000.s022.t000,ringer,memorize pattern change know method odd-sounding name like kent treble bob major grandsire cater
d000.s022.t001,memorize,ringer pattern change know method odd-sounding name like kent treble bob major grandsire cater
d000.s022.t002,pattern,ringer memorize change know method odd-sounding name like kent treble bob major grandsire cater
d000.s022.t003,change,ringer memorize pattern know method odd-sounding name like kent treble bob major grandsire cater
d000.s022.t004,know,ringer memorize pattern change method odd-sounding name like kent treble bob major grandsire cater
d000.s022.t005,method,ringer memorize pattern change know odd-sounding name like kent treble bob major grandsire cater
d000.s022.t006,name,ringer memorize pattern change know method odd-sounding like kent treble bob major grandsire cater
d000.s023.t000,series,"5,000 change peal take three hour"
d000.s023.t001,so,"series 5,000 change peal take three hour"
d000.s023.t002,change,"series 5,000 peal take three hour"
d000.s023.t003,take,"series 5,000 change peal three hour"
d000.s023.t004,about,"series 5,000 change peal take three hour"
d000.s023.t005,hour,"series 5,000 change peal take three"
d000.s024.t000,look,thursday night practice st. mary abbot church kensington district london give idea work involve
d000.s024.t001,thursday,look night practice st. mary abbot church kensington district london give idea work involve
d000.s024.t002,night,look thursday practice st. mary abbot church kensington district london give idea work involve
d000.s024.t003,practice,look thursday night st. mary abbot church kensington district london give idea work involve
d000.s024.t004,church,look thursday night practice st. mary abbot kensington district london give idea work involve
d000.s024.t005,district,look thursday night practice st. mary abbot church kensington london give idea work involve
d000.s024.t006,give,look thursday night practice st. mary abbot church kensington district london idea work involve
d000.s024.t007,idea,look thursday night practice st. mary abbot church kensington district london give work involve
d000.s024.t008,work,look thursday night practice st. mary abbot church kensington district london give idea involve
d000.s024.t009,involve,look thursday night practice st. mary abbot church kensington district london give idea work
d000.s025.t000,ringer,ten shirt-sleeved stand circle one foot ahead prizefighter stance pull rope disappear small hole high ceiling ringing chamber
